0,1,2,3,4
1,135,2065,135,None
2,140,2047,140,None
3,141,2027,141,None
4,144,2051,144,None
5,118,2061,118,None
6,122,2063,122,None
7,125,2053,125,None
8,150,2039,150,None
9,133,2071,133,None
10,149,2041,149,None
11,114,2059,114,None
12,127,2083,127,None
13,126,2043,126,None
14,118,2061,118,None
15,124,2055,124,None
16,118,2091,118,None
17,132,2061,132,None
18,141,2057,141,None
19,149,2057,149,None
20,133,2057,133,None
21,160,2047,160,None
22,155,2053,155,None
23,125,2053,125,None
24,135,2047,135,None
25,75,2069,75,None
26,136,2047,136,None
27,95,2055,95,None
28,91,2055,91,None
29,110,2057,110,None
30,116,2047,116,None
31,128,2049,128,None
32,154,2049,154,None
33,150,2041,150,None
34,152,2045,152,None
35,178,2049,178,None
36,174,2045,174,None
37,152,2051,152,None
38,188,2045,188,None
39,177,2053,177,None
40,171,2047,171,None
41,159,2047,159,None
42,197,2049,197,None
43,177,2051,177,None
44,172,2051,172,None
45,204,2049,204,None
46,198,2045,198,None
47,177,2047,177,None
48,166,2049,166,None
49,183,2047,183,None
50,185,2047,185,None
51,175,2049,175,None
52,173,2061,173,None
53,151,2053,151,None
54,139,2047,139,None
55,134,2047,134,None
56,150,2045,150,None
57,163,2053,163,None
58,143,2047,143,None
59,143,2053,143,None
60,142,2049,142,None
61,136,2051,136,None
62,127,2047,127,None
63,170,2051,170,None
64,135,2039,135,None
65,159,2047,159,None
66,179,2049,179,None
67,130,2049,130,None
68,140,2051,140,None
69,164,2049,164,None
70,133,2049,133,None
71,155,2055,155,None
72,169,2047,169,None
73,138,2041,138,None
74,151,2053,151,None
75,144,2051,144,None
76,141,2049,141,None
77,148,2051,148,None
78,178,2053,178,None
79,145,2043,145,None
80,186,2049,186,None
81,145,2053,145,None
82,163,2043,163,None
83,155,2047,155,None
84,158,2041,158,None
85,135,2047,135,None
86,152,2051,152,None
87,135,2047,135,None
88,166,2041,166,None
89,145,2047,145,None
90,143,2047,143,None
91,152,2049,152,None
92,153,2047,153,None
93,145,2043,145,None
94,146,2051,146,None
95,138,2047,138,None
96,146,2045,146,None
97,134,2049,134,None
98,153,2039,153,None
99,157,2047,157,None
100,144,2049,144,None
101,158,2049,158,None
102,151,2047,151,None
103,144,2049,144,None
104,138,2049,138,None
105,135,2053,135,None
106,146,2049,146,None
107,152,2049,152,None
108,161,2053,161,None
109,153,2043,153,None
110,138,2049,138,None
111,164,2045,164,None
112,145,2047,145,None
113,169,2047,169,None
114,169,2047,169,None
115,154,2051,154,None
116,147,2043,147,None
117,148,2045,148,None
118,146,2049,146,None
119,152,2041,152,None
120,143,2047,143,None
121,160,2049,160,None
122,150,2049,150,None
123,145,2047,145,None
124,148,2049,148,None
125,129,2047,129,None
126,138,2045,138,None
127,137,2047,137,None
128,152,2049,152,None
129,145,2047,145,None
130,155,2047,155,None
131,158,2051,158,None
132,133,2047,133,None
133,149,2049,149,None
134,154,2047,154,None
