0,1,2,3,
1,116,2107,29.0,very undesirable
2,142,2139,35.5,very undesirable
3,151,2199,37.75,very undesirable
4,115,2209,28.75,very undesirable
5,154,2207,38.5,very undesirable
6,129,2207,32.25,somewhat undesirable
7,156,2193,39.0,very undesirable
8,164,2203,41.0,very undesirable
9,214,2203,53.5,very undesirable
10,184,2207,46.0,somewhat undesirable
11,191,2185,47.75,very undesirable
12,177,2193,44.25,very undesirable
13,151,2205,75.5,somewhat undesirable
14,138,2175,34.5,very undesirable
15,161,2199,40.25,somewhat undesirable
16,176,2173,176.0,very desirable
17,189,2175,47.25,very undesirable
18,176,2195,44.0,somewhat undesirable
19,213,2177,213.0,very desirable
20,197,2203,49.25,very undesirable
21,171,2185,42.75,somewhat undesirable
22,205,2177,205.0,very desirable
23,202,2187,50.5,somewhat desirable
24,180,2185,90.0,somewhat undesirable
25,209,2177,52.25,somewhat desirable
26,174,2191,43.5,very undesirable
27,186,2185,93.0,somewhat undesirable
28,183,2165,45.75,somewhat desirable
29,189,2177,47.25,very undesirable
30,156,2197,39.0,very undesirable
31,225,2189,56.25,somewhat desirable
32,172,2189,43.0,very undesirable
33,160,2217,40.0,very undesirable
34,167,2197,83.5,somewhat undesirable
35,176,2191,44.0,very undesirable
36,169,2213,42.25,somewhat desirable
37,150,2221,37.5,very undesirable
38,171,2213,42.75,somewhat desirable
39,181,2195,90.5,somewhat undesirable
40,183,2199,45.75,very undesirable
41,171,2181,42.75,very undesirable
42,180,2195,45.0,very undesirable
43,193,2079,193.0,very desirable
44,211,2117,211.0,very desirable
45,222,2195,55.5,somewhat desirable
46,213,2207,53.25,very undesirable
47,194,2193,48.5,very undesirable
48,222,2195,55.5,somewhat undesirable
49,232,2213,58.0,somewhat desirable
50,245,2193,61.25,very undesirable
51,240,2209,60.0,very undesirable
52,235,2187,58.75,somewhat desirable
53,235,2153,235.0,very desirable
54,215,2155,107.5,somewhat undesirable
55,228,2139,171.0,somewhat desirable
56,244,2113,61.0,very desirable
57,260,2163,260.0,very desirable
58,245,2115,61.25,very desirable
59,225,2083,56.25,very undesirable
60,217,2149,108.5,somewhat undesirable
61,232,2101,174.0,somewhat desirable
62,235,2081,58.75,somewhat undesirable
63,221,2161,55.25,somewhat undesirable
64,208,2175,52.0,very undesirable
65,265,2143,198.75,somewhat desirable
66,211,2069,105.5,somewhat undesirable
67,255,2091,63.75,very undesirable
68,241,2123,60.25,very undesirable
69,270,2057,270.0,very desirable
70,227,2091,56.75,somewhat undesirable
71,274,2063,68.5,somewhat desirable
72,230,2079,57.5,somewhat undesirable
73,291,2095,72.75,very undesirable
74,248,2105,124.0,somewhat undesirable
75,255,2107,191.25,somewhat desirable
76,270,2137,67.5,very undesirable
77,249,2099,62.25,very undesirable
78,252,2087,63.0,somewhat undesirable
79,271,2109,67.75,somewhat desirable
80,271,2121,67.75,very undesirable
81,255,2091,63.75,somewhat desirable
82,262,2039,65.5,very desirable
83,249,1987,249.0,very desirable
84,280,2055,70.0,very desirable
85,261,1937,65.25,somewhat desirable
86,263,2089,65.75,very undesirable
87,293,1979,73.25,very desirable
88,271,1987,67.75,very undesirable
89,281,1953,210.75,somewhat desirable
90,278,1977,69.5,somewhat undesirable
