0,1,2,3,4
1,139,2043,139,None
2,122,2065,122,None
3,124,2039,124,None
4,141,2019,141,None
5,122,2023,122,None
6,133,2021,133,None
7,141,2057,141,None
8,130,2035,130,None
9,125,2073,125,None
10,114,2071,114,None
11,139,2079,139,None
12,118,2075,118,None
13,113,2089,113,None
14,119,2043,119,None
15,114,2077,114,None
16,140,2069,140,None
17,133,2071,133,None
18,146,2069,146,None
19,150,2059,150,None
20,161,2063,161,None
21,148,2053,148,None
22,125,2063,125,None
23,131,2059,131,None
24,137,2053,137,None
25,114,2067,114,None
26,147,2053,147,None
27,104,2061,104,None
28,138,2069,138,None
29,98,2091,98,None
30,126,2071,126,None
31,95,2071,95,None
32,131,2063,131,None
33,152,2057,152,None
34,117,2071,117,None
35,150,2059,150,None
36,95,2073,95,None
37,104,2059,104,None
38,151,2055,151,None
39,95,2067,95,None
40,139,2063,139,None
41,105,2053,105,None
42,136,2073,136,None
43,114,2069,114,None
44,140,2057,140,None
45,137,2059,137,None
46,140,2043,140,None
47,153,2049,153,None
48,138,2049,138,None
49,171,2049,171,None
50,149,2051,149,None
51,131,2059,131,None
52,136,2059,136,None
53,156,2049,156,None
54,127,2047,127,None
55,139,2055,139,None
56,133,2055,133,None
57,144,2065,144,None
58,147,2073,147,None
59,140,2049,140,None
60,158,2049,158,None
61,142,2041,142,None
62,144,2045,144,None
63,154,2049,154,None
64,163,2047,163,None
65,177,2047,177,None
66,156,2051,156,None
67,176,2051,176,None
68,157,2047,157,None
69,179,2043,179,None
70,147,2047,147,None
71,166,2051,166,None
72,173,2047,173,None
73,155,2053,155,None
74,177,2047,177,None
75,154,2049,154,None
76,167,2043,167,None
77,157,2047,157,None
78,157,2047,157,None
79,148,2049,148,None
80,159,2047,159,None
81,155,2047,155,None
82,134,2049,134,None
83,176,2049,176,None
84,166,2049,166,None
85,141,2047,141,None
86,159,2047,159,None
87,156,2049,156,None
88,162,2049,162,None
89,148,2049,148,None
90,162,2049,162,None
91,165,2047,165,None
92,163,2047,163,None
93,149,2047,149,None
94,152,2051,152,None
95,159,2047,159,None
96,164,2051,164,None
97,145,2047,145,None
98,139,2039,139,None
99,136,2049,136,None
100,163,2047,163,None
101,161,2047,161,None
102,157,2049,157,None
103,176,2051,176,None
104,152,2049,152,None
105,161,2055,161,None
106,159,2055,159,None
107,159,2043,159,None
108,148,2045,148,None
109,178,2049,178,None
110,145,2047,145,None
111,170,2057,170,None
112,155,2047,155,None
113,183,2047,183,None
114,151,2053,151,None
115,152,2041,152,None
116,161,2053,161,None
117,155,2047,155,None
118,161,2047,161,None
119,159,2047,159,None
120,148,2049,148,None
121,144,2049,144,None
122,156,2049,156,None
123,145,2053,145,None
124,137,2047,137,None
125,120,2051,120,None
126,133,2047,133,None
127,135,2047,135,None
128,147,2047,147,None
129,165,2047,165,None
130,136,2045,136,None
131,133,2047,133,None
132,144,2045,144,None
133,150,2049,150,None
134,141,2047,141,None
135,159,2047,159,None
136,150,2045,150,None
137,129,2047,129,None
138,137,2047,137,None
139,139,2049,139,None
140,165,2047,165,None
141,148,2049,148,None
142,118,2049,118,None
143,158,2049,158,None
144,150,2049,150,None
145,139,2047,139,None
146,124,2049,124,None
147,155,2047,155,None
148,146,2049,146,None
149,108,2049,108,None
150,161,2047,161,None
151,159,2047,159,None
152,150,2049,150,None
153,161,2047,161,None
154,104,2049,104,None
155,136,2049,136,None
156,144,2049,144,None
157,150,2049,150,None
158,147,2047,147,None
159,155,2043,155,None
160,143,2047,143,None
161,146,2049,146,None
162,185,2047,185,None
163,135,2047,135,None
164,149,2047,149,None
165,176,2049,176,None
166,122,2049,122,None
167,126,2045,126,None
168,144,2049,144,None
169,139,2047,139,None
170,139,2043,139,None
171,127,2047,127,None
172,175,2047,175,None
173,161,2047,161,None
174,147,2047,147,None
175,143,2047,143,None
176,127,2047,127,None
177,151,2047,151,None
178,137,2047,137,None
179,130,2049,130,None
180,143,2047,143,None
181,132,2049,132,None
182,146,2049,146,None
183,153,2047,153,None
184,164,2045,164,None
185,155,2047,155,None
186,155,2047,155,None
187,135,2039,135,None
188,167,2047,167,None
189,155,2047,155,None
190,160,2045,160,None
191,139,2047,139,None
192,141,2047,141,None
193,132,2049,132,None
194,135,2047,135,None
195,141,2047,141,None
196,140,2049,140,None
197,149,2047,149,None
198,165,2047,165,None
199,137,2047,137,None
200,133,2047,133,None
201,155,2047,155,None
202,120,2049,120,None
203,154,2049,154,None
204,154,2045,154,None
205,157,2047,157,None
206,165,2047,165,None
207,150,2049,150,None
208,131,2047,131,None
209,143,2047,143,None
210,139,2043,139,None
211,134,2049,134,None
212,153,2047,153,None
213,130,2045,130,None
214,147,2047,147,None
215,145,2047,145,None
216,164,2049,164,None
217,172,2049,172,None
218,162,2049,162,None
219,131,2047,131,None
220,136,2041,136,None
221,148,2045,148,None
222,132,2049,132,None
223,135,2047,135,None
224,135,2047,135,None
225,144,2049,144,None
226,137,2047,137,None
227,133,2047,133,None
228,155,2047,155,None
229,135,2047,135,None
230,144,2049,144,None
231,147,2047,147,None
232,144,2049,144,None
233,125,2043,125,None
234,126,2049,126,None
235,149,2047,149,None
236,150,2045,150,None
237,160,2049,160,None
238,139,2047,139,None
239,136,2049,136,None
240,144,2049,144,None
241,168,2049,168,None
242,172,2049,172,None
243,146,2045,146,None
244,117,2047,117,None
245,134,2049,134,None
246,129,2047,129,None
247,117,2047,117,None
248,150,2049,150,None
249,123,2047,123,None
250,120,2045,120,None
251,136,2049,136,None
252,140,2049,140,None
253,156,2049,156,None
254,139,2047,139,None
255,150,2049,150,None
256,159,2047,159,None
257,158,2049,158,None
258,143,2047,143,None
259,140,2045,140,None
260,143,2043,143,None
261,159,2047,159,None
262,132,2049,132,None
263,153,2043,153,None
264,160,2049,160,None
265,161,2047,161,None
266,153,2047,153,None
267,141,2047,141,None
268,138,2049,138,None
269,146,2049,146,None
270,151,2047,151,None
271,167,2047,167,None
272,159,2047,159,None
273,170,2041,170,None
274,143,2047,143,None
275,166,2049,166,None
276,148,2049,148,None
277,169,2047,169,None
278,159,2043,159,None
279,141,2047,141,None
280,141,2047,141,None
281,158,2045,158,None
282,144,2045,144,None
283,161,2047,161,None
284,152,2049,152,None
285,141,2047,141,None
286,164,2045,164,None
287,174,2049,174,None
288,161,2047,161,None
289,186,2045,186,None
290,153,2047,153,None
291,143,2047,143,None
292,168,2049,168,None
293,155,2047,155,None
294,140,2049,140,None
295,153,2047,153,None
296,162,2049,162,None
297,154,2045,154,None
298,174,2045,174,None
299,159,2043,159,None
300,184,2049,184,None
301,166,2049,166,None
302,180,2049,180,None
303,175,2047,175,None
304,170,2045,170,None
305,156,2041,156,None
306,144,2049,144,None
307,163,2047,163,None
308,151,2043,151,None
309,142,2049,142,None
310,158,2047,158,None
311,166,2049,166,None
312,142,2049,142,None
313,168,2045,168,None
314,159,2047,159,None
315,139,2047,139,None
316,176,2049,176,None
317,136,2049,136,None
318,168,2041,168,None
319,152,2049,152,None
320,137,2047,137,None
321,141,2047,141,None
322,134,2049,134,None
323,160,2049,160,None
324,156,2049,156,None
325,134,2049,134,None
326,144,2049,144,None
327,130,2045,130,None
328,150,2045,150,None
329,145,2047,145,None
330,155,2047,155,None
