0,1,2,3,4
1,142,2197,142,None
2,144,2191,144,None
3,147,2215,147,None
4,151,2193,151,None
5,163,2179,163,None
6,160,2163,160,None
7,131,2199,131,None
8,136,2177,136,None
9,130,2205,130,None
10,139,2187,139,None
11,124,2197,124,None
12,139,2215,139,None
13,149,2197,149,None
14,137,2193,137,None
15,144,2167,144,None
16,131,2185,131,None
17,122,2201,122,None
18,150,2177,150,None
19,145,2181,145,None
20,162,2183,162,None
21,164,2185,164,None
22,150,2191,150,None
23,165,2169,165,None
24,160,2195,160,None
25,148,2181,148,None
26,191,2177,191,None
27,146,2185,146,None
28,143,2185,143,None
29,147,2191,147,None
30,169,2195,169,None
31,140,2179,140,None
32,156,2179,156,None
33,168,2175,168,None
34,146,2187,146,None
35,139,2181,139,None
36,161,2183,161,None
37,135,2181,135,None
38,159,2197,159,None
39,134,2183,134,None
40,170,2187,170,None
41,183,2175,183,None
42,169,2181,169,None
43,172,2177,172,None
44,208,2191,208,None
45,182,2183,182,None
46,162,2201,162,None
47,190,2183,190,None
48,173,2173,173,None
49,211,2173,211,None
50,201,2167,201,None
51,192,2191,192,None
52,186,2191,186,None
53,200,2173,200,None
54,228,2183,228,None
55,227,2175,227,None
56,219,2187,219,None
57,226,2187,226,None
58,216,2175,216,None
59,178,2167,178,None
60,203,2181,203,None
61,174,2183,174,None
62,170,2185,170,None
63,163,2179,163,None
64,177,2173,177,None
65,184,2179,184,None
66,183,2181,183,None
67,185,2181,185,None
68,174,2185,174,None
69,141,2179,141,None
70,178,2181,178,None
71,182,2181,182,None
72,193,2177,193,None
73,160,2179,160,None
74,175,2171,175,None
75,177,2173,177,None
76,204,2177,204,None
77,177,2169,177,None
78,186,2185,186,None
79,183,2175,183,None
80,160,2183,160,None
81,149,2181,149,None
82,168,2177,168,None
83,166,2181,166,None
84,157,2181,157,None
85,150,2183,150,None
86,146,2185,146,None
87,148,2177,148,None
88,168,2183,168,None
89,151,2181,151,None
90,156,2175,156,None
91,155,2177,155,None
92,193,2173,193,None
93,169,2183,169,None
94,206,2171,206,None
95,191,2181,191,None
96,165,2185,165,None
97,192,2181,192,None
98,183,2181,183,None
99,183,2177,183,None
100,169,2173,169,None
