0,1,2,3,4
1,128,2211,-2083,None
2,158,2207,-2049,None
3,144,2169,-2025,None
4,149,2107,-1958,None
5,156,2129,-1973,None
6,158,2071,-1913,None
7,156,2121,-1965,None
8,166,2079,-1913,None
9,152,2167,-2015,None
10,130,2107,-1977,None
11,129,2111,-1982,None
12,128,2149,-2021,None
13,139,2147,-2008,None
14,152,2129,-1977,None
15,130,2135,-2005,None
16,137,2181,-2044,None
17,127,2179,-2052,None
18,134,2221,-2087,None
19,152,2139,-1987,None
20,152,2133,-1981,None
21,157,2105,-1948,None
22,168,2119,-1951,None
23,159,2189,-2030,None
24,144,2151,-2007,None
25,151,2087,-1936,None
26,137,2111,-1974,None
27,152,2119,-1967,None
28,129,2147,-2018,None
29,128,2163,-2035,None
30,132,2191,-2059,None
31,131,2171,-2040,None
32,131,2151,-2020,None
33,118,2185,-2067,None
34,118,2211,-2093,None
35,142,2213,-2071,None
36,145,2213,-2068,None
37,141,2201,-2060,None
38,161,2203,-2042,None
39,164,2225,-2061,None
40,134,2217,-2083,None
41,156,2217,-2061,None
42,139,2229,-2090,None
43,145,2221,-2076,None
44,168,2203,-2035,None
45,143,2227,-2084,None
46,166,2221,-2055,None
47,174,2233,-2059,None
48,155,2199,-2044,None
49,131,2219,-2088,None
50,134,2231,-2097,None
51,142,2229,-2087,None
52,140,2219,-2079,None
53,139,2237,-2098,None
54,139,2259,-2120,None
55,165,2231,-2066,None
56,146,2237,-2091,None
57,154,2235,-2081,None
58,167,2209,-2042,None
59,167,2207,-2040,None
60,159,2229,-2070,None
61,121,2229,-2108,None
62,144,2229,-2085,None
63,141,2247,-2106,None
64,155,2203,-2048,None
65,167,2209,-2042,None
66,163,2219,-2056,None
67,163,2193,-2030,None
68,186,2219,-2033,None
69,164,2147,-1983,None
70,166,2135,-1969,None
71,156,2201,-2045,None
72,155,2139,-1984,None
73,172,2163,-1991,None
74,184,2221,-2037,None
75,161,2145,-1984,None
76,175,2187,-2012,None
77,153,2193,-2040,None
78,167,2231,-2064,None
79,179,2211,-2032,None
80,169,2207,-2038,None
81,183,2221,-2038,None
82,176,2243,-2067,None
83,183,2229,-2046,None
84,161,2203,-2042,None
85,157,2219,-2062,None
86,169,2231,-2062,None
87,166,2223,-2057,None
88,133,2237,-2104,None
89,174,2211,-2037,None
90,161,2209,-2048,None
91,167,2239,-2072,None
92,174,2229,-2055,None
93,173,2233,-2060,None
94,148,2191,-2043,None
95,155,2247,-2092,None
96,167,2257,-2090,None
97,157,2213,-2056,None
98,164,2233,-2069,None
99,202,2215,-2013,None
100,151,2213,-2062,None
101,167,2233,-2066,None
102,156,2197,-2041,None
103,161,2215,-2054,None
104,163,2255,-2092,None
105,137,2249,-2112,None
