0,1,2,3,4
1,138,2039,-1901,None
2,136,1989,-1853,None
3,153,2009,-1856,None
4,138,2067,-1929,None
5,169,2033,-1864,None
6,165,2021,-1856,None
7,157,1985,-1828,None
8,153,1953,-1800,None
9,166,1969,-1803,None
10,156,1919,-1763,None
11,144,1945,-1801,None
12,156,1953,-1797,None
13,150,1935,-1785,None
14,148,1925,-1777,None
15,164,1917,-1753,None
16,157,1903,-1746,None
17,136,1897,-1761,None
18,144,1915,-1771,None
19,136,1911,-1775,None
20,148,1891,-1743,None
21,132,1959,-1827,None
22,148,1899,-1751,None
23,145,1905,-1760,None
24,135,1861,-1726,None
25,135,1899,-1764,None
26,145,1933,-1788,None
27,159,1897,-1738,None
28,148,1989,-1841,None
29,125,1981,-1856,None
30,131,1945,-1814,None
31,117,1905,-1788,None
32,120,1927,-1807,None
33,144,1845,-1701,None
34,138,1867,-1729,None
35,120,1947,-1827,None
36,125,1899,-1774,None
37,131,1945,-1814,None
38,137,1915,-1778,None
39,143,1961,-1818,None
40,137,1921,-1784,None
41,147,1903,-1756,None
42,137,1847,-1710,None
43,133,1869,-1736,None
44,134,1959,-1825,None
45,123,1921,-1798,None
46,123,1927,-1804,None
47,141,1965,-1824,None
48,128,2035,-1907,None
49,126,2001,-1875,None
50,126,2021,-1895,None
51,122,2091,-1969,None
52,117,2021,-1904,None
53,134,1997,-1863,None
54,135,1979,-1844,None
55,129,1931,-1802,None
56,129,1965,-1836,None
57,132,1949,-1817,None
58,134,1957,-1823,None
59,109,1963,-1854,None
60,128,1931,-1803,None
61,100,1915,-1815,None
62,122,1949,-1827,None
63,121,1899,-1778,None
64,121,1905,-1784,None
65,148,1943,-1795,None
66,137,1933,-1796,None
67,118,2003,-1885,None
68,139,1973,-1834,None
69,126,1967,-1841,None
70,131,1957,-1826,None
71,132,1999,-1867,None
72,109,1961,-1852,None
73,119,1915,-1796,None
74,110,1857,-1747,None
75,122,1985,-1863,None
76,118,1941,-1823,None
77,103,1983,-1880,None
78,101,1975,-1874,None
79,98,1921,-1823,None
80,122,1875,-1753,None
81,95,1881,-1786,None
82,100,1937,-1837,None
83,101,1877,-1776,None
84,91,1937,-1846,None
85,103,1941,-1838,None
86,105,1913,-1808,None
87,111,1917,-1806,None
88,117,1909,-1792,None
89,122,1877,-1755,None
90,103,1881,-1778,None
91,109,1879,-1770,None
92,100,1911,-1811,None
93,107,1825,-1718,None
94,106,1855,-1749,None
95,103,1879,-1776,None
96,118,1827,-1709,None
97,117,1823,-1706,None
98,97,1847,-1750,None
99,108,1817,-1709,None
100,98,1855,-1757,None
101,115,1813,-1698,None
102,108,1827,-1719,None
103,98,1779,-1681,None
104,111,1769,-1658,None
105,92,1785,-1693,None
106,101,1817,-1716,None
107,110,1795,-1685,None
108,101,1765,-1664,None
109,110,1781,-1671,None
110,112,1779,-1667,None
111,101,1831,-1730,None
112,89,1851,-1762,None
113,104,1833,-1729,None
114,111,1803,-1692,None
115,90,1837,-1747,None
116,107,1791,-1684,None
117,101,1789,-1688,None
118,121,1797,-1676,None
119,92,1823,-1731,None
120,92,1833,-1741,None
121,106,1827,-1721,None
122,88,1807,-1719,None
123,97,1831,-1734,None
124,112,1785,-1673,None
